Q16,Canada,Canada,#ff0000
Q17,Japan,Japan,#bc002d
Q188712,Empire of Japan,Japan,#bc002d
Q205662,Tokugawa shogunate,Japan,#bc002d
Q20,Norway,Norway,#ef2b2d
Q21,England,United Kingdom,#006600
Q22,Scotland,United Kingdom,#006600
Q25,Wales,United Kingdom,#006600
Q26,Northern Ireland,United Kingdom,#006600
Q145,United Kingdom,United Kingdom,#006600
Q174193,United Kingdom of Great Britain and Ireland,United Kingdom,#006600
Q161885,Great Britain,United Kingdom,#006600
Q179876,Kingdom of England,United Kingdom,#006600
Q27,Republic of Ireland,Ireland,#169b62
Q28,Hungary,Hungary,#436F4D
Q171150,Kingdom of Hungary,Hungary,#436F4D
Q29,Spain,Spain,#F1BF00
Q80702,Kingdom of Spain,Spain,#F1BF00
Q217196,Crown of Castile,Spain,#F1BF00
Q204920,Crown of Aragon,Spain,#F1BF00
Q175276,Kingdom of León,Spain,#F1BF00
Q30,United States of America,USA,#B22234
Q31,Belgium,Belgium,#C8102E
Q157070,County of Flanders,Belgium,#C8102E
Q32,Luxembourg,Luxembourg,#00A1DE
Q33,Finland,Finland,#003580
Q62633,Grand Duchy of Finland,Finland,#003580
Q34,Sweden,Sweden,#006aa7
Q35,Denmark,Denmark,#c60c30
Q756617,Kingdom of Denmark,Denmark,#c60c30
Q36,Poland,Poland,#dc143c
Q207272,Second Polish Republic,Poland,#dc143c
Q172107,Polish-Lithuanian Commonwealth,Poland,#dc143c
Q37,Lithuania,Lithuania,#006a4e
Q38,Italy,Italy,#007FFF
Q4948,Republic of Venice,Italy,#007FFF
Q172579,Kingdom of Italy,Italy,#007FFF
Q148540,Republic of Florence,Italy,#007FFF
Q2577303,Kingdom of Sardinia,Italy,#007FFF
Q209857,Kingdom of Lombardy-Venetia,Italy,#007FFF
Q223936,Napoleonic Kingdom of Italy,Italy,#007FFF
Q838931,Kingdom of Italy,Italy,#007FFF
Q64576860,Lordship of Bologna,Italy,#007FFF
Q173065,Kingdom of Naples,Italy,#007FFF
Q154849,Grand Duchy of Tuscany,Italy,#007FFF
Q153529,Duchy of Milan,Italy,#007FFF
Q174306,Republic of Genoa,Italy,#007FFF
