@type	name:en	name	@count	@count:nodes	@count:ways	@count:relations
way		"United States of America (Minor Outlying Islands), Baker Island"				
count			0	0	0	0
way		"United States of America (Minor Outlying Islands), Howland Island"				
count			1	1	0	0
way		"United States of America (Minor Outlying Islands), Palmyra Atoll"				
count			0	0	0	0
way		"United States of America (Minor Outlying Islands), Kingman Reef"				
count			0	0	0	0
way		"United States of America (Minor Outlying Islands), Jarvis Island"				
count			0	0	0	0
way		"United States of America (Minor Outlying Islands), Midway Atoll"				
count			0	0	0	0
way		"United States of America (Minor Outlying Islands), Johnston Atoll"				
count			0	0	0	0
way		"United States of America (Minor Outlying Islands), Wake Island (Disputed area USA-MARSHALL ISLANDS)"				
count			0	0	0	0
area	Russia	Россия				
count			546	4	527	15
area	Australia	Australia				
count			133	6	115	12
area	United States	United States				
